0,1034230
1,603750
2,729370
3,638510
4,1091520
5,1087950
6,759000
7,1063330
8,771710
9,271670
10,1081560
11,562280
12,270090
13,435790
14,1130440
15,806160
16,355430
17,852190
18,1071920
19,869270
20,339240
21,460250
22,554920
23,227580
24,965340
25,952950
26,1055140
27,1101290
28,278440
29,670750
30,856260
31,1016250
32,882750
33,497400
34,282800
35,791180
36,628340
37,205690
38,1071310
39,1103100
40,1011870
41,406730
42,1025480
43,873180
44,1099840
45,1133610
46,682470
47,15540
48,1015140
49,1157020
50,449940
51,821560
52,1060360
53,811070
54,773460
55,477010
56,260790
57,866510
58,951090
59,859200
60,958050
61,870990
62,1015020
63,1039550
64,368000
65,553830
66,493790
67,1039580
68,1000080
69,413480
70,761190
71,782100
72,834180
73,772230
74,490390
75,1081800
76,913850
77,1100350
78,1103590
79,925440
80,793460
81,841860
82,1156840
83,979580
84,581810
85,949450
86,303720
87,614910
88,1048470
89,1053950
90,1128150
91,898090
92,1063560
93,1126840
94,392190
95,392150
96,1077540
97,1083210
98,410110
99,342580
100,560660
101,1007810
102,644550
103,360640
104,779420
105,508290
106,989430
107,610960
108,396800
109,557330
110,800170
111,989000
112,491330
113,754610
114,888990
115,1064860
116,290970
117,567800
118,663210
119,514900
120,388390
121,921630
122,905660
123,470060
124,529950
125,1102740
126,985080
127,740000
128,334850
129,405180
130,684340
131,1126430
132,682500
133,513490
134,814510
135,720840
136,924710
137,1141750
138,616750
139,862790
140,879270
141,1020360
142,926340
143,440810
144,242820
145,439550
146,1070190
147,1058910
148,255280
149,1043350
150,568330
151,880320
152,965120
153,957950
154,342990
155,678560
156,1158690
157,575880
158,599090
159,856350
160,880620
161,388320
162,864940
163,639650
164,986770
165,1151580
166,375460
167,855320
168,1086010
169,877360
170,1041310
171,373480
172,355270
173,1166230
174,1117040
175,1158770
176,618720
177,944030
178,976940
179,668620
180,1059860
181,776490
182,270190
183,332710
184,1078950
185,688470
186,987850
187,576810
188,335190
189,575600
190,755040
191,554640
192,996550
193,990920
194,582840
195,942050
196,814210
197,981140
198,322110
199,330820
200,1094190
201,1050690
202,938520
203,607660
204,998490
205,665900
206,544820
207,1058750
208,1138030
209,1018090
210,953790
211,1043140
212,729570
213,649360
214,690530
215,800820
216,696600
217,1009190
218,485580
219,692790
220,1065970
221,444420
222,504090
223,994750
224,1169640
225,1065960
226,464530
227,904860
228,1152500
229,769560
230,700490
231,701720
232,645270
233,836490
234,1097550
235,696880
236,459910
237,882710
238,997700
239,435100
240,817770
241,1031480
242,568750
243,822550
244,1098080
245,992720
246,656200
247,674850
248,936510
249,675170
250,834580
251,546110
252,603450
253,464360
254,899940
255,1036190
256,665650
257,259620
258,1094420
259,1143560
260,462110
261,263360
262,1056590
263,1063820
264,970180
265,626500
266,1023410
267,988080
268,278530
269,723020
270,466500
271,679930
272,883100
273,859050
274,576390
275,504920
276,943960
277,982580
278,534910
279,358700
280,345030
281,1018170
282,1003750
283,870020
284,691080
285,1045750
286,992620
287,754510
288,686620
289,616740
290,703090
291,1021800
292,745670
293,1100930
294,1008830
295,1153590
296,431840
297,1039400
298,1145550
299,954280
300,666870
301,1051170
302,1006700
303,1016100
304,872600
305,570840
306,206610
307,916940
308,977210
309,1129690
310,542700
311,752240
312,1078960
313,1106690
