,name,appid,developers,publishers,price,is_free,platforms,release_date,required_age,n_languages,n_packages,has_website,achievements,categories,genres,positive_ratings,negative_ratings,owners,average_playtime,median_playtime,ccu,tags
137,Secret of the Magic Crystals,45100,Artery Games,Artery Games,$4.99 ,0,Windows; Mac; Linux,2/3/2010,0,6,2,1,22,Single-player; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud; Steam Leaderboards,Casual; Indie,1362,269,100000 - 200000,399,412,3,Casual; Horses; Indie; Simulation; Fantasy; Singleplayer; Family Friendly; Cute; Adventure; Open World; Epic; Magic; Strategy
138,Fortix,45400,Nemesys Games,Nemesys Games,$0.99 ,0,Windows; Mac,4/14/2010,0,5,1,1,12,Single-player; Steam Achievements; Steam Trading Cards; Steam Leaderboards,Indie,819,70,100000 - 200000,110,126,1,Indie; Casual; Arcade; Fantasy; Singleplayer; Dragons; Puzzle; Strategy; 2D; Masterpiece
139,Land It!,45420,Nemesys Games,Nemesys Games,$9.99 ,0,Windows; Mac,8/1/2016,0,6,1,0,25,Single-player; Steam Achievements; Partial Controller Support,Casual; Indie; Simulation,10,1,0 - 20000,0,0,0,Casual; Indie; Simulation
140,Fortix 2,45450,Nemesys Games,Nemesys Games,$1.99 ,0,Windows; Mac; Linux,5/6/2011,0,6,1,1,26,Single-player; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud; Stats; Steam Leaderboards,Casual; Indie,476,44,50000 - 100000,116,165,1,Indie; Casual; Puzzle; Singleplayer; Arcade; Strategy; Action; 2D
141,Greed: Black Border,46400,Headup Games; Clockstone,Headup Games,$0.99 ,0,Windows,1/13/2010,0,2,1,0,0,Single-player; Co-op,Action; RPG,109,158,100000 - 200000,0,0,1,Action; RPG; Sci-fi; Action RPG; Co-op; Indie; Isometric; Singleplayer; Loot
142,Future Wars,46440,Radon Labs,Radon Labs,$0.99 ,0,Windows,7/15/2010,0,2,1,1,0,Single-player; Multi-player; Shared/Split Screen; Remote Play Together,Strategy,87,205,50000 - 100000,15,15,1,Strategy; Turn-Based; Turn-Based Strategy; Indie; Singleplayer; Multiplayer
143,Grotesque Tactics: Evil Heroes,46450,Silent Dreams,Headup,$1.99 ,0,Windows,10/15/2010,0,2,2,1,10,Single-player; Steam Achievements,Indie; RPG; Strategy,228,147,100000 - 200000,201,317,2,RPG; Strategy; Indie; Turn-Based; Parody ; Tactical; Funny; Strategy RPG; Fantasy; Adventure; Singleplayer; Comedy; Party-Based RPG; Casual; JRPG; Turn-Based Strategy; Turn-Based Tactics; Anime; Dungeon Crawler
144,Scratches - Director's Cut,46460,Nucleosys,Nucleosys,0,0,Windows,4/20/2011,0,1,0,0,0,Single-player,Adventure,255,59,100000 - 200000,106,155,2,Adventure; Horror; Point & Click; Atmospheric; First-Person; Mystery; Story Rich; Psychological Horror; Dark; Investigation; Indie; Nonlinear; Masterpiece; Puzzle
145,Wasteland Angel,46520,Octane Games; Meridian4,Meridian4,$9.99 ,0,Windows,9/1/2011,0,4,1,1,40,Single-player; Steam Achievements; Partial Controller Support; Steam Leaderboards,Action; Indie,168,125,100000 - 200000,62,62,0,Action; Indie; Post-apocalyptic; Female Protagonist; Arcade; Shooter; Racing; Top-Down Shooter; Top-Down
146,Grotesque Tactics 2 – Dungeons and Donuts,46570,Silent Dreams,Headup,$9.99 ,0,Windows,11/21/2011,0,2,2,0,13,Single-player,Adventure; Indie; RPG; Strategy,109,99,50000 - 100000,313,313,1,RPG; Strategy; Adventure; Indie; Turn-Based; Fantasy; Comedy; Parody ; Casual; Party-Based RPG; Strategy RPG; Dungeon Crawler; Funny; Turn-Based Strategy; Tactical; Turn-Based Tactics; Singleplayer; Female Protagonist
147,Swarm Arena,46600,Dedication Games,Dedication Games,$3.99 ,0,Windows,8/19/2010,0,1,1,1,15,Single-player; Multi-player; Steam Achievements; Partial Controller Support; Steam Leaderboards,Action; Casual; Indie,42,13,20000 - 50000,20,20,0,Indie; Casual; Action; Arcade
148,Dark Fall: Lost Souls,46750,Darkling Room,Iceberg Interactive,$12.99 ,0,Windows,4/21/2010,0,1,1,1,0,Single-player; Steam Trading Cards,Adventure; Indie,119,71,20000 - 50000,137,137,1,Adventure; Indie; Horror; Point & Click; Psychological Horror; Puzzle
149,Making History II: The War of the World,46770,Muzzy Lane Software,Factus Games,$14.99 ,0,Windows; Mac; Linux,8/27/2010,0,4,3,1,1,Single-player; Multi-player; Cross-Platform Multiplayer; Steam Trading Cards; Steam Workshop; Includes level editor,Indie; Simulation; Strategy,216,58,20000 - 50000,11772,11772,38,Strategy; Simulation; Grand Strategy; World War II; Indie; Historical; Singleplayer; Turn-Based; Multiplayer
150,LIMBO,48000,Playdead,Playdead,$9.99 ,0,Windows; Mac; Linux,8/2/2011,0,14,2,1,13,Single-player; Steam Achievements; Full controller support; Steam Cloud; Remote Play on Phone; Remote Play on Tablet; Remote Play on TV,Adventure; Indie,32616,2166,2000000 - 5000000,153,82,56,Puzzle-Platformer; Indie; Platformer; Puzzle; Dark; Atmospheric; 2D; Adventure; Singleplayer; Horror; Surreal; Short; Side Scroller; Difficult; Minimalist; Masterpiece; Physics; Casual; Action; Cinematic
151,Saira,48900,Nicklas Nygren,Kreatoriet AB,0,1,Windows,,0,1,0,1,0,Single-player,Indie,235,57,0 - 20000,47,47,0,Indie; Platformer; Free to Play; Puzzle; Adventure; Female Protagonist; Metroidvania; Exploration; 2D; Singleplayer; Sci-fi
152,Flight of the Icarus,49800,Muse Games,Muse Games,$4.99 ,0,Windows; Mac,5/12/2010,0,1,1,1,0,Single-player,Action; Indie,97,151,50000 - 100000,0,0,0,Indie; Action; Steampunk
153,CreaVures,49810,Muse Games,Muse Games,$4.99 ,0,Windows; Mac,2/23/2011,0,6,1,1,21,Single-player; Steam Achievements; Partial Controller Support,Indie,125,27,20000 - 50000,0,0,2,Indie; Platformer; Puzzle; Atmospheric; Cute
154,Plain Sight,49900,Beatnik Games,Beatnik Games,$4.99 ,0,Windows,4/5/2010,0,5,2,1,24,Multi-player; Steam Achievements; Steam Leaderboards,Action; Indie,184,86,50000 - 100000,57,57,0,Action; Indie; Multiplayer; Robots; Ninja
155,Nimbus,50000,Noumenon Games,Noumenon Games,$9.99 ,0,Windows,10/25/2010,0,1,1,0,18,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Stats; Steam Leaderboards,Indie; Racing,190,10,50000 - 100000,544,544,0,Indie; Racing; Puzzle; Physics; Difficult; Platformer; Time Attack
156,Max and the Magic Marker,50820,Press Play,The Games Company,0,0,Windows; Mac,5/12/2010,0,8,0,1,0,Single-player,Indie,36,14,0 - 20000,0,0,0,Indie; Family Friendly; Platformer; 2D
157,Hidden Expedition: Amazon,50920,Big Fish Games,Big Fish Games,$9.99 ,0,Windows,4/21/2010,0,1,1,1,0,Single-player,Casual; Indie,11,4,0 - 20000,0,0,0,Casual; Indie; Hidden Object
158,Flotilla,55000,Blendo Games,Blendo Games,$9.99 ,0,Windows; Mac; Linux,Apr-10,0,1,2,1,0,Single-player; Multi-player; PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen Co-op; Shared/Split Screen; Partial Controller Support; Remote Play Together,Adventure; Indie; Strategy,171,29,100000 - 200000,1,1,0,Strategy; Indie; Adventure; Space; Sci-fi; Tactical; Short; Rogue-lite; Turn-Based; Casual; Funny; Action; Exploration; Story Rich; Turn-Based Strategy; Rogue-like; Procedural Generation; Real-Time with Pause; Turn-Based Tactics; Space Sim
159,Puzzle Dimension,57200,Doctor Entertainment AB,Doctor Entertainment AB,$2.99 ,0,Windows; Mac,6/21/2010,0,11,1,1,25,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Stats; Steam Leaderboards,Casual; Indie,421,44,100000 - 200000,0,0,1,Puzzle; Indie; Casual; Singleplayer
160,Who's That Flying?!,57700,Mediatonic,Kalypso Media Digital,$5.99 ,0,Windows,1/31/2011,0,1,1,1,12,Single-player; Steam Achievements; Full controller support; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Casual; Indie,99,43,20000 - 50000,10,10,0,Action; Indie; Casual; Shoot 'Em Up; Side Scroller
161,Doc Clock: The Toasted Sandwich of Time,57800,Stickmen Studios,Stickmen Studios,$4.99 ,0,Windows; Mac,10/15/2010,0,6,1,1,12,Single-player; Steam Achievements,Adventure; Casual; Indie,82,91,50000 - 100000,19,19,0,Casual; Indie; Adventure; Puzzle
162,Jolly Rover,58200,Brawsome,Brawsome,$9.99 ,0,Windows; Mac,6/7/2010,0,1,2,1,16,Single-player; Steam Achievements; Steam Cloud,Adventure; Casual; Indie,258,33,100000 - 200000,672,672,0,Adventure; Indie; Point & Click; Casual; Comedy; Pirates; Family Friendly; Touch-Friendly; Singleplayer; Puzzle
163,MacGuffin's Curse,58230,Brawsome,Brawsome,$9.99 ,0,Windows; Mac,4/19/2012,0,1,2,1,15,Single-player; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud,Adventure; Casual; Indie,85,16,20000 - 50000,51,63,0,Adventure; Casual; Indie; Puzzle; Werewolves
164,Turba,58400,Binary Takeover,Binary Takeover,$4.99 ,0,Windows,Jul-10,0,1,1,1,21,Single-player; Steam Achievements; Stats; Steam Leaderboards,Casual; Indie,46,89,20000 - 50000,185,261,0,Casual; Indie; Music; Match 3; Music-Based Procedural Generation; Rhythm
165,Glowfish,60350,MumboJumbo,MumboJumbo,$9.99 ,0,Windows; Mac,9/30/2011,0,1,1,1,25,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Adventure; Casual; Indie,90,13,20000 - 50000,29,29,1,Casual; Adventure; Indie; Underwater
166,ProtoGalaxy,60600,Source Studio Ltd.,Source Studio Ltd.,0,1,Windows,10/6/2010,0,1,1,1,33,Single-player; Multi-player; Co-op; Shared/Split Screen; Steam Achievements; Partial Controller Support; Remote Play Together,Action; Indie,31,24,50000 - 100000,0,0,0,Indie; Action; Co-op
167,Power of Defense,60700,4sdk,4sdk,$9.99 ,0,Windows; Mac,8/4/2010,0,1,1,1,26,Single-player; Multi-player; Steam Achievements,Strategy; Indie,9,25,0 - 20000,0,0,0,Strategy; Indie; Tower Defense
168,Lucid,61100,YeaBoing,YeaBoing,$4.99 ,0,Windows,7/19/2011,0,1,1,1,11,Single-player; Steam Achievements,Indie; Casual,177,52,50000 - 100000,213,218,0,Casual; Indie; Puzzle; Match 3; Relaxing
169,Fractal: Make Blooms Not War,61310,Cipher Prime Studios,Cipher Prime Studios,$6.99 ,0,Windows; Mac,11/29/2011,0,10,2,1,0,Single-player,Indie; Casual,145,46,100000 - 200000,6,12,2,Casual; Indie; Puzzle
170,Zen Bound 2,61600,Secret Exit Ltd.,Secret Exit Ltd.,$4.99 ,0,Windows; Mac; Linux,11/16/2010,0,1,1,1,11,Single-player; Steam Achievements; Steam Cloud,Indie; Casual,454,66,100000 - 200000,244,244,1,Puzzle; Casual; Indie; Relaxing; Singleplayer; 3D
171,Critter Crunch,61730,Capybara Games,Capybara Games,$6.99 ,0,Windows; Mac,9/11/2012,0,5,1,1,14,Single-player; Multi-player; Co-op; Steam Achievements; Partial Controller Support; Steam Cloud; Valve Anti-Cheat enabled; Steam Leaderboards,Action; Indie; Casual,273,15,20000 - 50000,0,0,1,Indie; Casual; Puzzle; Action; Cute; Local Co-Op; Family Friendly; Multiplayer; 2D; Cartoony; Match 3; Local Multiplayer
172,Flight Control HD,62000,Firemint,Firemint,$4.99 ,0,Windows; Mac,11/18/2010,0,1,1,1,16,Single-player; Steam Achievements; Steam Cloud; Stats; Steam Leaderboards,Action; Casual,423,37,50000 - 100000,54,54,2,Casual; Action; Touch-Friendly; Arcade; Singleplayer; Flight; Indie; Strategy
173,HOARD,63000,Big Sandwich Games; Stratecade LLC,Stratecade LLC,$9.99 ,0,Windows; Mac; Linux,4/4/2011,0,5,3,1,129,Single-player; Multi-player; PvP; Online PvP; Co-op; Online Co-op; Steam Achievements; Full controller support; Steam Cloud; Valve Anti-Cheat enabled; Stats; Steam Leaderboards,Action; Casual; Indie; Strategy,716,178,200000 - 500000,45,55,1,Casual; Strategy; Dragons; Indie; Action; Fantasy; Multiplayer; Arcade; Singleplayer; Co-op; Top-Down
174,Monday Night Combat,63200,Uber Entertainment,Uber Entertainment,$4.99 ,0,Windows,1/24/2011,0,8,2,1,51,Single-player; Multi-player; Co-op; Steam Achievements; Partial Controller Support; Valve Anti-Cheat enabled; Stats; Steam Leaderboards,Action; Strategy; Indie; Sports,769,220,200000 - 500000,184,285,1,Hero Shooter; Action; Indie; MOBA; Third-Person Shooter; Sports; Strategy; Multiplayer; Arena Shooter; Comedy; Tower Defense; Co-op; Cartoon; Shooter
175,Swords and Soldiers HD,63500,Ronimo Games,Ronimo Games,$9.99 ,0,Windows; Mac,12/2/2010,0,6,2,1,25,Single-player; Multi-player; Steam Achievements; Valve Anti-Cheat enabled; Steam Leaderboards,Action; Casual; Indie; Strategy,637,177,200000 - 500000,68,25,1,Strategy; Indie; Casual; 2D; Action; Tower Defense; Cartoony; Side Scroller; Multiplayer
176,Delve Deeper,63800,Lunar Giant,Lunar Giant Studios,$4.99 ,0,Windows,9/24/2010,0,1,2,1,50,Single-player; Multi-player; Steam Achievements; Steam Trading Cards; Partial Controller Support,Adventure; Indie; RPG; Strategy,234,160,50000 - 100000,16,16,2,Strategy; Indie; Adventure; RPG; Turn-Based; Mining; Multiplayer; Singleplayer; Board Game
177,Dungeon Defenders,65800,Trendy Entertainment,Trendy Entertainment,$14.99 ,0,Windows; Mac; Linux,10/18/2011,0,5,4,1,118,Single-player; Multi-player; Co-op; Shared/Split Screen; Steam Achievements; Full controller support; Steam Workshop; Steam Cloud; Valve Anti-Cheat enabled; Steam Leaderboards; Remote Play on Phone; Remote Play on Tablet; Remote Play on TV; Remote Play Together,Action; Indie; RPG; Strategy,11846,958,1000000 - 2000000,3311,896,286,Tower Defense; RPG; Strategy; Co-op; Action; Online Co-Op; Multiplayer; Indie; Fantasy; Third Person; Local Co-Op; Singleplayer; Local Multiplayer; 4 Player Local; Split Screen; Action RPG; Loot; Hack and Slash; Addictive; Third-Person Shooter
178,The Polynomial - Space of the music,67000,Dmytry Lavrov,Dmytry Lavrov,$6.99 ,0,Windows; Mac; Linux,10/15/2010,0,1,1,1,14,Single-player; Steam Achievements; Partial Controller Support; Steam Leaderboards,Action; Casual; Indie,342,119,100000 - 200000,6,9,0,Indie; Music; Action; Rhythm; Casual; Psychedelic; Arcade; First-Person; Colorful; Singleplayer; Great Soundtrack; Bullet Hell; Music-Based Procedural Generation; Score Attack; Flight
179,Dino D-Day,70000,800 North and Digital Ranch,800 North and Digital Ranch,$9.99 ,0,Windows,4/8/2011,0,1,2,1,77,Multi-player; Steam Achievements; Steam Trading Cards; Steam Cloud; Valve Anti-Cheat enabled; Stats,Action; Indie,12374,2408,1000000 - 2000000,293,160,5,Dinosaurs; Multiplayer; Action; World War II; FPS; Indie; Shooter; First-Person; War; Comedy; Funny; Third Person; Alternate History; Co-op; Survival; Historical; PvP; Third-Person Shooter; Gore; Open World
180,Hacker Evolution: Untold,70110,exosyphen studios,exosyphen studios,$0.99 ,0,Windows; Mac; Linux,9/14/2010,0,1,2,1,0,Single-player; Steam Trading Cards,Indie; Simulation,193,151,200000 - 500000,241,280,2,Simulation; Indie; Hacking; Singleplayer; Puzzle
181,Hacker Evolution Duality,70120,exosyphen studios,exosyphen studios,$0.99 ,0,Windows; Mac; Linux,8/15/2011,0,1,2,1,9,Single-player; Steam Achievements; Stats; Steam Leaderboards,Indie,171,312,200000 - 500000,39,16,0,Indie; Hacking; Simulation
182,Governor of Poker 2 - Premium Edition,70210,I Sioux Game Productions B.V.,Youdagames,$14.99 ,0,Windows,10/11/2010,0,6,2,1,0,Single-player,Adventure; Casual; Indie; Simulation,159,31,20000 - 50000,0,0,22,Casual; Simulation; Adventure; Indie; Card Game; Gambling
183,VVVVVV,70300,Terry Cavanagh,Terry Cavanagh,$4.99 ,0,Windows; Mac; Linux,9/7/2010,0,1,1,1,19,Single-player; Steam Achievements; Full controller support; Steam Trading Cards; Remote Play on TV,Action; Indie,7187,290,500000 - 1000000,80,67,10,Pixel Graphics; Precision Platformer; Platformer; Indie; 2D Platformer; Great Soundtrack; Difficult; Retro; 2D; Singleplayer; Exploration; Action; Sci-fi; Adventure; Short; Metroidvania; Minimalist; Puzzle; Open World; Space
184,Recettear: An Item Shop's Tale,70400,EasyGameStation,Carpe Fulgur LLC,$19.99 ,0,Windows,9/10/2010,0,2,2,1,0,Single-player; Partial Controller Support,RPG; Indie,5374,198,200000 - 500000,602,547,30,Capitalism; Anime; RPG; Dungeon Crawler; JRPG; Indie; Singleplayer; Cute; Simulation; Female Protagonist; Comedy; Action RPG; Management; Strategy; Fantasy; Action; Adventure; 2D; Hack and Slash; Visual Novel
185,Diamond Dan,70500,Grendel Games,Grendel Games,$0.99 ,0,Windows; Mac,10/8/2010,0,1,1,1,65,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Adventure; Casual; Indie,35,12,20000 - 50000,0,0,0,Casual; Action; Indie; Adventure; Platformer
186,Star Ruler,70900,Blind Mind Studios,Blind Mind Studios,$7.99 ,0,Windows,9/20/2010,0,1,2,1,0,Single-player; Multi-player,Indie; Strategy,234,43,100000 - 200000,30,54,4,Strategy; Indie; Space; 4X; RTS; Sci-fi; Grand Strategy; Great Soundtrack; Singleplayer
187,Evochron Mercenary,71000,StarWraith 3D Games LLC,StarWraith 3D Games LLC,$19.99 ,0,Windows,1/16/2012,0,1,1,1,0,Single-player; Multi-player; Co-op; Steam Trading Cards,Action; Indie; Simulation,320,88,50000 - 100000,59,59,0,Space; Simulation; Indie; Sci-fi; Action; Open World; Space Sim; Sandbox; Multiplayer; Flight; TrackIR; Trading; Co-op
188,Universe Sandbox Legacy,72200,Giant Army,Giant Army,0,0,Windows,4/29/2011,0,1,0,1,16,Single-player; Steam Achievements; Steam Trading Cards; Stats,Casual; Indie; Simulation,2347,528,500000 - 1000000,262,54,26,Simulation; Sandbox; Space; Physics; Science; Education; Indie; Casual; Singleplayer; God Game; Sci-fi; Free to Play; Atmospheric; Space Sim; Funny; Exploration; Destruction; Epic; Masterpiece; VR
189,Winter Voices,72900,Clara Lehenaff,Clara Lehenaff,0,1,Windows,10/29/2010,0,3,0,1,64,Single-player; Steam Achievements; Steam Trading Cards,Adventure; Indie; RPG,144,81,20000 - 50000,366,366,1,RPG; Indie; Adventure; Female Protagonist; Atmospheric; Turn-Based Strategy; Story Rich; Psychological; Turn-Based; Singleplayer; Isometric
190,Fate of the World,80200,Red Redemption,Soothsayer Games,$9.99 ,0,Windows; Mac,2/28/2011,0,3,2,1,32,Single-player; Steam Achievements; Steam Cloud,Casual; Indie; Simulation; Strategy,281,83,50000 - 100000,49,56,4,Strategy; Political Sim; Simulation; Turn-Based; Indie; Political; Difficult; Casual; Politics; Education; Nature; Singleplayer; Card Game
191,Puzzle Bots,80300,Ivy Games,Wadjet Eye Games,$4.99 ,0,Windows,10/22/2010,0,1,1,1,0,Single-player,Adventure; Indie,114,38,50000 - 100000,0,0,0,Adventure; Indie; Puzzle; Point & Click; Robots; Singleplayer
192,Gemini Rue,80310,Joshua Neurnberger,Wadjet Eye Games,$9.99 ,0,Windows; Mac; Linux,10/26/2011,0,1,1,1,15,Single-player; Steam Achievements; Steam Trading Cards; Steam Cloud,Adventure; Indie,1269,138,100000 - 200000,164,174,4,Point & Click; Adventure; Sci-fi; Noir; Cyberpunk; Indie; Story Rich; Pixel Graphics; Dystopian ; Detective; Atmospheric; Singleplayer; Retro; 2D; Great Soundtrack; Mystery; Puzzle
193,The Blackwell Legacy,80330,Wadjet Eye Games,Wadjet Eye Games,$4.99 ,0,Windows; Mac; Linux,1/13/2012,0,1,2,1,8,Single-player; Steam Achievements; Steam Trading Cards,Adventure; Indie,924,113,100000 - 200000,224,292,2,Point & Click; Adventure; Indie; Female Protagonist; Supernatural; Mystery; Pixel Graphics; Detective; Story Rich; Singleplayer; Noir; 2D; Atmospheric; Retro; Puzzle
194,SkyDrift,91100,Digital Reality,HandyGames,$1.99 ,0,Windows,11/21/2011,0,5,2,0,12,Single-player; Multi-player; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Indie; Racing,815,102,100000 - 200000,16,23,3,Racing; Indie; Combat Racing; Flight; Controller; Multiplayer; Action; Arcade
195,Sanctum,91600,Coffee Stain Studios,Coffee Stain Publishing,$2.49 ,0,Windows; Mac,4/15/2011,0,12,2,1,100,Single-player; Multi-player; Co-op; Cross-Platform Multiplayer; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Casual; Indie; Strategy,2640,309,500000 - 1000000,286,227,9,Tower Defense; Strategy; FPS; Co-op; Action; Indie; Sci-fi; Multiplayer; First-Person; Online Co-Op; Shooter; Female Protagonist; Singleplayer; Casual; Great Soundtrack; Futuristic; Adventure; Tactical; Survival; Open World
196,E.Y.E: Divine Cybermancy,91700,Streum On Studio,Streum On Studio,$9.99 ,0,Windows,7/29/2011,0,2,2,1,100,Single-player; Multi-player; Co-op; Shared/Split Screen; Steam Achievements; Steam Trading Cards; Partial Controller Support; Stats; Steam Leaderboards; Remote Play Together,Action; Indie; RPG,4864,948,500000 - 1000000,765,513,24,Cyberpunk; RPG; FPS; Action; Co-op; Indie; Hacking; Singleplayer; Sci-fi; Multiplayer; First-Person; Surreal; Atmospheric; Shooter; Online Co-Op; Action RPG; Story Rich; Masterpiece; Adventure; Stealth
197,Hydrophobia: Prophecy,92000,Dark Energy Digital Ltd.,Dark Energy Digital Ltd.,$4.99 ,0,Windows,5/9/2011,17,8,1,1,13,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Adventure; Indie; Strategy,1292,850,200000 - 500000,360,610,1,Action; Adventure; Female Protagonist; Indie; Third Person; Singleplayer; Physics; Short; Sci-fi; Strategy; Third-Person Shooter; Underwater; Action-Adventure
198,DETOUR,92100,Geoff 'Zag' Keene; Richard Keene,Geoff 'Zag' Keene,$1.99 ,0,Windows,5/16/2011,0,1,3,1,26,Single-player; Multi-player; PvP; Online PvP; Co-op; Steam Achievements; Steam Trading Cards,Indie; Strategy,1123,676,200000 - 500000,188,165,3,Indie; Strategy; Puzzle; Singleplayer; Casual; Multiplayer; Shoot 'Em Up; 2D; Simulation; Action; Family Friendly; Turn-Based; Story Rich; Great Soundtrack; Atmospheric
199,A.R.E.S.: Extinction Agenda,92300,Extend Studio,Extend Studio; ORiGO GAMES,$4.99 ,0,Windows,1/19/2011,0,7,2,1,24,Single-player; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud,Action; Indie,575,256,50000 - 100000,170,217,1,Action; Platformer; Indie; Side Scroller; Sci-fi; 2D; Robots; Shooter; Short; Singleplayer; Space; Metroidvania; Arcade
200,Xotic,92600,"WXP Games, LLC","WXP Games, LLC",$9.99 ,0,Windows,9/16/2011,0,5,1,1,46,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Indie,126,43,50000 - 100000,0,0,0,Action; Indie; FPS; Arcade; Sci-fi; First-Person
201,SpaceChem,92800,Zachtronics,Zachtronics,$9.99 ,0,Windows; Mac; Linux,3/2/2011,0,8,1,1,20,Single-player; Steam Achievements; Steam Cloud; Steam Leaderboards,Indie; Simulation,3884,334,500000 - 1000000,161,114,23,Puzzle; Difficult; Programming; Indie; Logic; Singleplayer; Automation; Sci-fi; Great Soundtrack; Science; 2D; Space; Casual; Illuminati; Simulation; Addictive; Education; Strategy; Touch-Friendly; Building
202,Revenge of the Titans,93200,Puppygames,Puppygames,$14.99 ,0,Windows; Mac; Linux,3/16/2011,0,1,1,1,77,Single-player; Steam Achievements; Steam Trading Cards; Steam Cloud,Action; Indie; Strategy,876,169,200000 - 500000,134,166,2,Tower Defense; Strategy; Indie; Action; Sci-fi; Singleplayer; Pixel Graphics; Retro; 2D; Difficult; Top-Down; Aliens; Arcade; RTS; Sandbox; Great Soundtrack
203,Dinner Date,94000,Stout Games,Stout Games,$3.99 ,0,Windows,3/1/2011,0,3,1,1,0,Single-player,Indie; Casual,447,368,20000 - 50000,21,21,1,Indie; Short; Casual; Experimental; Singleplayer; First-Person; Simulation; Narration; Story Rich
204,Jamestown,94200,Final Form Games,Final Form Games,$9.99 ,0,Windows; Mac,6/8/2011,0,1,3,1,42,Single-player; Multi-player; PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen Co-op; Shared/Split Screen; Steam Achievements; Full controller support; Stats; Steam Leaderboards; Remote Play Together,Action; Indie,2039,110,500000 - 1000000,91,124,2,Shoot 'Em Up; Bullet Hell; Local Co-Op; Indie; Steampunk; Arcade; Action; 4 Player Local; Local Multiplayer; 2D; Difficult; Great Soundtrack; Co-op; Retro; Pixel Graphics; Mars; Alternate History; Shooter; Singleplayer; Sci-fi
205,The Dream Machine: Chapter 1 & 2,94300,Cockroach Inc.,The Sleeping Machine,$3.99 ,0,Windows; Mac,5/11/2012,0,1,1,1,0,Single-player; Steam Trading Cards; Steam Cloud,Adventure; Casual; Indie,1086,104,100000 - 200000,230,253,8,Adventure; Point & Click; Indie; Puzzle; Episodic; Casual; Surreal; Story Rich; Atmospheric; Horror; Singleplayer; Fantasy; Dark; Psychological Horror; Mature; 2D; Mystery; Third Person; Exploration; Great Soundtrack
206,Nidhogg,94400,Messhof,Messhof,$9.99 ,0,Windows; Mac,1/13/2014,0,1,2,1,12,Single-player; Multi-player; Steam Achievements; Full controller support; Stats; Steam Leaderboards; Remote Play on TV; Remote Play Together,Action; Indie; Sports,5826,752,500000 - 1000000,176,128,9,Local Multiplayer; Indie; Fighting; Swordplay; Action; Multiplayer; 2D Fighter; Pixel Graphics; PvP; 2D; Fast-Paced; Sports; Funny; Competitive; Controller; Local Co-Op; Platformer; Great Soundtrack; GameMaker; Co-op
207,ibb & obb,95400,Sparpweed; Codeglue,Sparpweed,$11.99 ,0,Windows; Linux,5/26/2014,0,16,4,1,10,Multi-player; Co-op; Shared/Split Screen; Cross-Platform Multiplayer; Steam Achievements; Full controller support; Steam Trading Cards; Steam Cloud; Steam Leaderboards; Remote Play Together,Action; Adventure; Indie,3509,248,200000 - 500000,218,247,43,Co-op; Puzzle; Local Co-Op; Online Co-Op; Platformer; Indie; Cute; Adventure; Multiplayer; Action; Great Soundtrack; Puzzle-Platformer; 2D; Difficult; Casual; Family Friendly; Funny; Controller; Local Multiplayer
208,The Cat and the Coup,95700,Peter Brinson and Kurosh ValaNejad,Peter Brinson and Kurosh ValaNejad,0,1,Windows; Mac,6/15/2011,0,3,0,1,0,Single-player; Partial Controller Support,Free to Play; Indie,865,57,100000 - 200000,11,11,0,Free to Play; Indie; Cats; Historical; Puzzle; Short; Singleplayer
209,The Tiny Bang Story,96000,Colibri Games,Colibri Games,$4.99 ,0,Windows; Mac; Linux,4/22/2011,0,27,1,1,0,Single-player; Steam Trading Cards,Adventure; Casual; Indie,4366,625,5000000 - 10000000,310,306,62,Puzzle; Point & Click; Hand-drawn; Adventure; Hidden Object; Singleplayer; Casual; 2D; Great Soundtrack; Story Rich; Funny; Comedy; Indie; Masterpiece; Classic; Cult Classic; Retro; 1990's; Relaxing; Remake
210,Defy Gravity Extended,96100,Paul Fisch,Fish Factory Games,$1.99 ,0,Windows,3/18/2016,0,1,2,0,8,Single-player; Steam Achievements; Full controller support; Steam Trading Cards; Captions available,Action; Casual; Indie,7547,1217,500000 - 1000000,130,140,1,Puzzle-Platformer; Platformer; Indie; Puzzle; Space; 2D; Action; Singleplayer; Difficult; Casual; Sci-fi; Great Soundtrack; Female Protagonist; Physics; Retro; Arcade; Shooter; Funny; Multiplayer; Open World
