,name,appid,developers,publishers,price,is_free,platforms,release_date,required_age,n_languages,n_packages,has_website,achievements,categories,genres,positive_ratings,negative_ratings,owners,average_playtime,median_playtime,ccu,tags
10,Poker Superstars II,4100,Funkitron,Funkitron,$9.99 ,0,Windows,10/5/2006,0,1,1,0,0,Single-player,Casual; Strategy; Indie,5,5,0 - 20000,0,0,1,Strategy; Indie; Casual; Card Game; Gambling
11,RoboBlitz,4300,Naked Sky Entertainment,Naked Sky Entertainment,$9.99 ,0,Windows,11/7/2006,0,9,1,1,0,Single-player; Partial Controller Support; Includes level editor,Action; Indie,44,14,20000 - 50000,0,0,0,Action; Indie; Puzzle; Physics; Robots
12,Zen of Sudoku,4900,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0,1,Windows,12/14/2006,0,1,0,1,0,Single-player,Casual; Indie,150,19,0 - 20000,193,381,11,Casual; Indie; Puzzle; Free to Play
13,Natural Selection 2,4920,Unknown Worlds Entertainment,Unknown Worlds Entertainment,$9.99 ,0,Windows,10/30/2012,0,10,5,1,66,Multi-player; PvP; Online PvP; Steam Achievements; Steam Trading Cards; Steam Workshop; Steam Cloud; Valve Anti-Cheat enabled; Includes level editor,Action; Indie; Strategy,9328,1618,1000000 - 2000000,2801,176,236,Multiplayer; Strategy; FPS; Team-Based; Action; Sci-fi; RTS; Aliens; Indie; Competitive; Shooter; Co-op; Moddable; Tactical; First-Person; Space; Futuristic; Atmospheric; Online Co-Op; Adventure
14,Shank,6120,Klei Entertainment,Klei Entertainment,$9.99 ,0,Windows; Mac; Linux,10/25/2010,17,1,1,1,12,Single-player; Multi-player; Shared/Split Screen; Steam Achievements; Full controller support; Steam Cloud; Remote Play on TV; Remote Play Together,Action; Indie,1976,247,200000 - 500000,358,363,5,Action; Indie; Beat 'em up; 2D; Side Scroller; Local Co-Op; Platformer; Gore; Singleplayer; Short; Adventure; Co-op; Controller; Hack and Slash; Old School; Multiplayer; Violent; Local Multiplayer
15,Nexus - The Jupiter Incident,6420,Mithis Games; THQ Nordic,HandyGames,$9.99 ,0,Windows,7/3/2007,0,6,2,0,0,Single-player; Multi-player; Includes level editor,Indie; Simulation; Strategy,533,106,50000 - 100000,41,41,10,Strategy; Space; Sci-fi; Simulation; Singleplayer; RTS; Indie; Atmospheric; Tactical; Classic; Real Time Tactics; Multiplayer; Moddable; Cult Classic
16,Geometry Wars: Retro Evolved,8400,Bizarre Creations,Activision,$3.99 ,0,Windows,6/18/2007,0,1,1,1,0,Single-player; Full controller support; Remote Play on TV,Casual,641,64,100000 - 200000,81,82,2,Arcade; Twin Stick Shooter; Casual; Retro; Bullet Hell; Singleplayer; 2D; Shoot 'Em Up; Indie; Shooter; Classic; Arena Shooter; Action; Psychedelic; Great Soundtrack; Score Attack
17,Gish,9500,Cryptic Sea; Edmund McMillen,Chronic Logic,$9.99 ,0,Windows; Mac,7/20/2007,0,1,1,1,11,Single-player; Multi-player; Shared/Split Screen PvP; Shared/Split Screen Co-op; Shared/Split Screen; Steam Achievements; Partial Controller Support; Remote Play Together,Action; Adventure; Indie,191,119,100000 - 200000,2,2,2,Indie; Action; Adventure; Platformer; Physics; 2D; Local Multiplayer; Puzzle; Local Co-Op; Singleplayer; Puzzle-Platformer
18,Gumboy Tournament,11230,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",$2.99 ,0,Windows,5/19/2008,0,4,1,1,0,Single-player; Multi-player,Casual; Indie; Racing,344,142,50000 - 100000,0,0,0,Indie; Casual; Racing; Multiplayer; Platformer; Masterpiece
19,Space Trader: Merchant Marine,11240,Meridian4,Meridian4,$4.99 ,0,Windows,10/23/2008,0,1,1,1,40,Single-player; Multi-player; Co-op; Steam Achievements,Action; Indie; Strategy,307,316,100000 - 200000,42,63,0,Action; Indie; Space; Strategy; FPS; Trading; Sci-fi; First-Person; Shooter; Casual
20,Penguins Arena: Sedna's World,11280,Frogames,Frogames,$5.99 ,0,Windows; Mac,12/18/2008,0,1,2,1,10,Single-player; Multi-player; PvP; Online PvP; Steam Trading Cards,Action; Casual; Indie,944,134,100000 - 200000,161,193,2,Action; Casual; Indie; Multiplayer; FPS; Great Soundtrack; Family Friendly; Shooter; First-Person; Memes
21,Obulis,11330,IonFX,Meridian4,$4.99 ,0,Windows,3/19/2009,0,1,1,0,17,Single-player; Steam Achievements,Casual; Indie,607,137,100000 - 200000,167,174,0,Puzzle; Casual; Indie; Physics; Singleplayer; Strategy; Atmospheric; Great Soundtrack
22,Larva Mortus,11340,Meridian4,Meridian4,$4.99 ,0,Windows,3/19/2009,0,1,1,1,25,Single-player; Steam Achievements,Action; Indie,536,163,100000 - 200000,232,232,1,Action; Indie; Top-Down; Horror; Shooter; RPG; Arcade; Top-Down Shooter; Zombies; Casual; 2D; Singleplayer; Adventure; Retro; Atmospheric
23,PuzzleQuest: Challenge of the Warlords,12500,Infinite Interactive,"D3Publisher of America, Inc.",$9.99 ,0,Windows,1/29/2008,0,1,1,0,0,Single-player; Multi-player; Steam Cloud,Casual,609,89,50000 - 100000,154,242,26,Puzzle; Match 3; Casual; RPG; Fantasy; 2D; Strategy; Addictive; Singleplayer; Anime; Indie; Touch-Friendly
24,Ninja Reflex: Steamworks Edition,13000,Sanzaru Games,Nunchuck Games,$4.99 ,0,Windows,3/21/2008,0,6,1,1,52,Single-player; Multi-player; Steam Achievements,Casual; Indie,53,4,0 - 20000,0,0,0,Indie; Casual; Ninja
25,Harvest: Massive Encounter,15400,Oxeye Game Studio,Oxeye Game Studio,$7.99 ,0,Windows; Mac; Linux,1/23/2009,0,1,1,1,25,Single-player; Steam Achievements,Strategy; Indie,96,22,20000 - 50000,0,0,1,Strategy; Indie; Tower Defense; Sci-fi; Singleplayer
26,The Wonderful End of the World,15500,"Dejobaan Games, LLC","Dejobaan Games, LLC",$9.99 ,0,Windows,7/17/2008,0,1,2,1,11,Single-player; Steam Achievements; Partial Controller Support,Casual; Indie,414,140,100000 - 200000,125,149,1,Indie; Casual; Action; Singleplayer; Short; Funny; Cute; Puzzle
27,AaAaAA!!! - A Reckless Disregard for Gravity,15520,"Dejobaan Games, LLC","Dejobaan Games, LLC",$9.99 ,0,Windows,9/3/2009,0,1,2,1,7,Single-player; Steam Achievements; Steam Leaderboards,Action; Indie; Sports,562,106,100000 - 200000,9,10,0,Action; Indie; First-Person; Sports; Score Attack; Funny; Singleplayer; Comedy; Arcade; Cyberpunk; Dystopian ; VR
28,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),15540,"Dejobaan Games, LLC","Dejobaan Games, LLC",$9.99 ,0,Windows,,0,1,2,1,1,Single-player; Steam Achievements; Steam Trading Cards,Action; Indie; Early Access,148,355,0 - 20000,21,21,0,Indie; Music; Action; Early Access; Procedural Generation; Rhythm; Singleplayer; Music-Based Procedural Generation
29,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,15560,"Dejobaan Games, LLC; Owlchemy Labs","Dejobaan Games, LLC",$9.99 ,0,Windows; Linux,11/23/2011,0,1,1,1,10,Single-player; Steam Achievements; Full controller support; Steam Leaderboards,Action; Indie; Sports,758,257,200000 - 500000,21,32,2,Indie; Action; First-Person; Sports; VR; Score Attack; Funny; Singleplayer; Comedy; Casual; Arcade
30,Planet Busters,15800,Slam,Slam,$9.99 ,0,Windows,6/30/2008,0,1,1,1,9,Single-player; Steam Achievements; Partial Controller Support,Indie; Casual,1,1,0 - 20000,0,0,0,Indie; Casual
31,Luxor,15970,MumboJumbo,MumboJumbo,$9.99 ,0,Windows; Mac,6/10/2008,0,4,2,0,0,Single-player,Casual,39,17,0 - 20000,0,0,11,Casual; Match 3
32,Trials 2: Second Edition,16600,Redlynx,RedLynx Ltd.,$9.99 ,0,Windows,5/28/2008,0,10,2,1,25,Single-player; Multi-player; Steam Achievements,Indie; Racing; Sports,174,34,50000 - 100000,34,34,3,Racing; Indie; Sports; Difficult
33,Monster Trucks Nitro ,16620,Redlynx Ltd,Miniclip.com,$19.99 ,0,Windows; Mac,1/29/2009,0,1,2,1,0,Single-player,Indie; Racing; Sports,26,16,0 - 20000,0,0,0,Racing; Sports; Indie
34,Insecticide Part 1,16710,Crackpot Entertainment,Missing Link Games,$0.99 ,0,Windows,7/1/2008,0,1,1,1,0,Single-player,Action; Adventure,322,113,100000 - 200000,0,0,1,Adventure; Action; Female Protagonist; Detective; Platformer; Indie; Third-Person Shooter; Singleplayer; Third Person; Masterpiece; Point & Click; Shooter; Puzzle
35,GROUND BRANCH,16900,BlackFoot Studios,BlackFoot Studios,$19.99 ,0,Windows,8/14/2018,0,1,1,1,0,Single-player; Multi-player; PvP; Online PvP; Co-op; Online Co-op; VR Support; Partial Controller Support,Action; Indie; Simulation; Early Access,1098,218,20000 - 50000,215,241,35,Indie; Action; Tactical; Early Access; Simulation; FPS; Realistic; Military; Shooter; Multiplayer; Co-op; Singleplayer; First-Person; War
36,Zombie Panic! Source,17500,Zombie Panic! Team,Zombie Panic! Team,0,1,Windows; Linux,10/3/2008,0,12,0,1,106,Multi-player; PvP; Co-op; Online Co-op; Mods; Mods (require HL2); Steam Achievements; Steam Workshop; Steam Cloud; Valve Anti-Cheat enabled; Includes level editor; Includes Source SDK,Action; Casual; Free to Play; Indie,5562,971,500000 - 1000000,1658,28,59,Free to Play; Zombies; Multiplayer; Survival; Action; Horror; FPS; Co-op; First-Person; Indie; Mod; Shooter; Online Co-Op; Team-Based; Survival Horror; Adventure; Gore; Atmospheric; Dark; Post-apocalyptic
37,"Pirates, Vikings, and Knights II",17570,Octoshark Studios,Octoshark Studios,0,1,Windows; Mac; Linux,2/12/2010,0,28,0,1,251,Multi-player; PvP; Online PvP; Cross-Platform Multiplayer; Mods; Steam Achievements; Steam Workshop; Steam Cloud; Valve Anti-Cheat enabled; Stats; Includes level editor; Includes Source SDK,Action; Free to Play; Indie,4268,637,1000000 - 2000000,311,134,25,Free to Play; Multiplayer; Action; Medieval; Pirates; Funny; FPS; Swordplay; Indie; Hack and Slash; First-Person; Mod; Historical; Fast-Paced; PvP; Singleplayer; Shooter; Massively Multiplayer; RPG; Memes
38,DeathSpank,18040,Hothead Games,Electronic Arts,$14.99 ,0,Windows; Mac,10/25/2010,0,1,1,1,12,Single-player; Multi-player; Shared/Split Screen; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards; Remote Play Together,Action; Indie; RPG,600,36,100000 - 200000,1,1,3,RPG; Action; Indie; Comedy; Action RPG; Hack and Slash; Parody ; Singleplayer; Local Co-Op; Funny; Open World
39,DeathSpank: Thongs of Virtue,18050,Hothead Games,Electronic Arts,$14.99 ,0,Windows; Mac,11/30/2010,0,1,1,1,13,Single-player; Multi-player; Shared/Split Screen; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards; Remote Play Together,Action; RPG; Indie,141,20,50000 - 100000,1,1,1,Action; RPG; Indie; Action RPG; Comedy; Local Co-Op; Hack and Slash; Parody 
